	smiles_string	prop	value
0	[*]C#CC=C[*]	Tc	1.07244839
1	[*]c1ccc2cc(-c3nc4cc5nc([*])[nH]c5cc4[nH]3)ccc2c1	Tc	0.974000513
2	[*]C=Cc1ccc(C=Cc2nc3cc4nc([*])[nH]c4cc3[nH]2)cc1	Tc	0.892835967
3	[*]c1ccc(-c2ccc(-c3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2)cc1	Tc	0.809927871
4	[*]c1ccc(-c2nc3cc4nc([*])[nH]c4cc3[nH]2)cc1	Tc	0.800303643
5	[*]c1ccc(-c2ccc(-c3nc4cc5nc([*])oc5cc4o3)cc2)cc1	Tc	0.728755314
6	[*]c1ccc(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)cc1	Tc	0.725028613
7	[*]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1	Tc	0.676547862
8	[*]c1ccc2[nH]c([*])nc2c1	Tc	0.618599103
9	[*]c1ccc(-c2nc3cc4nc([*])oc4cc3o2)c(O)c1	Tc	0.618033485
10	[*]NC(=O)C=CC(=O)Nc1nc([*])nc(N)n1	Tc	0.606226809
11	[*]Nc1ccc(C#Cc2ccc(NC(=O)c3ccc(C([*])=O)cc3)cc2)cc1	Tc	0.587694282
12	*c1ccc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)nc1	Tc	0.582083198
13	*C=CC=CN1C(=O)c2cc3c(cc2C1=O)Oc1cc2c(cc1C3)C(=O)N(*)C2=O	Tc	0.579938204
14	[*]c1ccc2c(c1)Cc1cc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)ccc1-2	Tc	0.566191419
15	*c1ccc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)cc1	Tc	0.563553989
16	[*]c1ccc2cc(-c3nc4ccc(-c5ccc6nc([*])[nH]c6c5)cc4[nH]3)ccc2c1	Tc	0.552997618
17	[*]c1nc2cc3nc(-c4ccc([*])o4)[nH]c3cc2[nH]1	Tc	0.546994914
18	[*]Nc1ccc(NC(=O)c2ccc(C([*])=O)cc2)cc1	Tc	0.545133326
19	[*]c1ccc(-c2ccc(-c3nc4ccc(-c5ccc6nc([*])oc6c5)cc4o3)cc2)cc1	Tc	0.542376563
20	*C=CC=CN1C(=O)c2cc3cc4c(cc3cc2C1=O)Cc1cc2cc3c(cc2cc1C4)C(=O)N(*)C3=O	Tc	0.533265964
21	[*]Nc1ccc(C([*])=O)cc1	Tc	0.526797956
22	[*]c1ccc([*])[nH]1	Tc	0.51664688
23	[*]NNC(=O)C([*])=O	Tc	0.503831948
24	*c1ccc(-c2ccc(N3C(=O)c4cc5cc6c(cc5cc4C3=O)Cc3cc4cc5c(cc4cc3C6)C(=O)N(*)C5=O)cc2)cc1	Tc	0.502077678
25	*C=CN1C(=O)c2cc3cc4c(cc3cc2C1=O)Cc1cc2cc3c(cc2cc1C4)C(=O)N(*)C3=O	Tc	0.493904726
26	[*]NC(=O)c1ccc(C(=O)Nc2cnc([*])nc2)cc1	Tc	0.49063158
27	*c1ccc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)c2cccnc12	Tc	0.484839597
28	[*]Nc1ccc(NC(=O)C=CC([*])=O)cc1	Tc	0.478692774
29	[*]c1ccc(-c2nc3cc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)ccc3[nH]2)cc1	Tc	0.471917368
30	[*]CNC(=O)N[*]	Tc	0.469595975
31	[*]c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2)cc1	Tc	0.468359745
32	[*]NNC(=O)C=CC(=O)Nc1ccc(NC(=O)C=CC([*])=O)cc1	Tc	0.460176432
33	[*]Nc1nnc(Nc2n[nH]c([*])n2)[nH]1	Tc	0.451105594
34	*c1ccc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)c2c1CC2	Tc	0.43206862
35	[*]NNC(=O)c1ccc(-c2ccc(C(=O)NNC(=O)c3cccc(C([*])=O)c3)cc2)cc1	Tc	0.419436488
36	[*]c1ccc(Nc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1	Tc	0.418895032
37	[*]C(=O)NNC(=O)c1ccc([*])nc1	Tc	0.415152077
38	[*]c1ccc(-c2nc3cc(-c4ccc5oc([*])nc5c4)ccc3o2)cc1	Tc	0.410311265
39	*c1ccc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)c(C)c1	Tc	0.409814192
40	[*]Nc1ccc([*])nc1	Tc	0.397554332
41	[*]c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(-c4nc5ccc(-c6ccc7nc([*])[nH]c7c6)cc5[nH]4)cc3)cc2)cc1	Tc	0.391532567
42	[*]c1ccc2ccc(-c3nc4cc(-c5ccc6[nH]c([*])nc6c5)ccc4[nH]3)cc2c1	Tc	0.39148022
43	[*]C(=O)NNC(=O)c1cnc([*])cn1	Tc	0.386491361
44	[*]Nc1ccc(-c2ccc(NC3=CC(=O)C([*])=CC3=O)cc2)cc1	Tc	0.379167869
45	[*]c1ccnc(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)n1	Tc	0.378951597
46	[*]c1cccc([*])n1	Tc	0.37570557
47	[*]c1ccc(Oc2ccc(-c3nc4ccc(-c5ccc6nc([*])oc6c5)cc4o3)cc2)cc1	Tc	0.370950105
48	[*]Nc1ccc(NC(=O)c2cccc(C([*])=O)c2)cc1	Tc	0.369655353
49	[*]c1cccc(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)n1	Tc	0.368696227
50	[*]c1cc(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)c(O)cc1O	Tc	0.363926387
51	[*]c1cccc(-c2nc3cc(-c4ccc5[nH]c([*])nc5c4)ccc3[nH]2)c1	Tc	0.360893777
52	[*]Nc1cccc2c(NC(=O)c3ccc(C([*])=O)cc3)cccc12	Tc	0.359870781
53	[*]Nc1ccc(Nc2ccc(C(=O)Nc3ccc(NC(=O)c4ccc([*])cc4)cc3)cc2)cc1	Tc	0.354869343
54	[*]c1cccc(-c2nc3cc4nc([*])[nH]c4cc3[nH]2)c1	Tc	0.353911995
55	*c1ccc(Nc2ccc(N3C(=O)c4cc5cc6c(cc5cc4C3=O)Cc3cc4cc5c(cc4cc3C6)C(=O)N(*)C5=O)cc2)cc1	Tc	0.352281684
56	[*]c1cncc(-c2nc3cc(-c4ccc5[nH]c([*])nc5c4)ccc3[nH]2)c1	Tc	0.350326329
57	[*]NC1=CC(=O)C([*])=CC1=O	Tc	0.346621437
58	[*]CNC(=O)CC(=O)N[*]	Tc	0.346555475
59	[*]C=C([*])CO	Tc	0.346046111
60	[*]c1ccc(C(=O)Nc2cccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)c2)cc1	Tc	0.337220912
61	[*]c1nc2cc(-c3ccc4[nH]c(-c5cccc6cc7c([*])cccc7cc56)nc4c3)ccc2[nH]1	Tc	0.336385954
